District,Total_Population,Total_Male_Population,Total_Female_Population,State
Madurai,3038252,1526475,1511777,Tamil Nadu
Theni  ,1245899,625683,620216,Tamil Nadu
Virudhunagar,1942288,967709,974579,Tamil Nadu
Ramanathapuram,1353445,682658,670787,Tamil Nadu
Thoothukkudi,1750176,865021,885155,Tamil Nadu
Tirunelveli ,3077233,1520912,1556321,Tamil Nadu
Kanniyakumari,1870374,926345,944029,Tamil Nadu
Dharmapuri,1506843,774303,732540,Tamil Nadu
Krishnagiri,1879809,960232,919577,Tamil Nadu
Coimbatore,3458045,1729297,1728748,Tamil Nadu
Tiruppur,2479052,1246159,1232893,Tamil Nadu
Yanam,55626,27301,28325,Puducherry
Puducherry,950289,468258,482031,Puducherry
Mahe,41816,19143,22673,Puducherry
Karaikal,200222,97809,102413,Puducherry
Nicobars,36842,20727,16115,Andaman and Nicobar Islands
North  and Middle Andaman,105597,54861,50736,Andaman and Nicobar Islands
South Andaman,238142,127283,110859,Andaman and Nicobar Islands
