District1,District2
AP_Anantapur,AP_Chittoor
AP_Anantapur,AP_Kurnool
AP_Anantapur,AP_Y.S.R. Kadapa
AP_Anantapur,KA_Ballari
AP_Anantapur,KA_Chikkaballapura
AP_Anantapur,KA_Chitradurga
AP_Anantapur,KA_Tumakuru
AP_Chittoor,AP_Anantapur
AP_Chittoor,AP_S.P.S. Nellore
AP_Chittoor,AP_Y.S.R. Kadapa
AP_Chittoor,KA_Chikkaballapura
AP_Chittoor,KA_Kolar
AP_Chittoor,TN_Krishnagiri
AP_Chittoor,TN_Thiruvallur
AP_Chittoor,TN_Vellore
AP_East Godavari,AP_Visakhapatnam
AP_East Godavari,AP_West Godavari
AP_East Godavari,CT_Sukma
AP_East Godavari,OR_Malkangiri
AP_East Godavari,TG_Telangana
AP_Guntur,AP_Krishna
AP_Guntur,AP_Prakasam
AP_Guntur,TG_Telangana
AP_Krishna,AP_Guntur
AP_Krishna,AP_West Godavari
AP_Krishna,TG_Telangana
AP_Kurnool,AP_Anantapur
AP_Kurnool,AP_Prakasam
AP_Kurnool,AP_Y.S.R. Kadapa
AP_Kurnool,KA_Ballari
AP_Kurnool,KA_Raichur
AP_Kurnool,TG_Telangana
AP_Prakasam,AP_Guntur
AP_Prakasam,AP_Kurnool
AP_Prakasam,AP_S.P.S. Nellore
AP_Prakasam,AP_Y.S.R. Kadapa
AP_Prakasam,TG_Telangana
AP_S.P.S. Nellore,AP_Chittoor
AP_S.P.S. Nellore,AP_Prakasam
AP_S.P.S. Nellore,AP_Y.S.R. Kadapa
AP_S.P.S. Nellore,TN_Thiruvallur
AP_Srikakulam,AP_Vizianagaram
AP_Srikakulam,OR_Gajapati
AP_Srikakulam,OR_Ganjam
AP_Srikakulam,OR_Rayagada
AP_Visakhapatnam,AP_East Godavari
AP_Visakhapatnam,AP_Vizianagaram
AP_Visakhapatnam,OR_Koraput
AP_Visakhapatnam,OR_Malkangiri
AP_Vizianagaram,AP_Srikakulam
AP_Vizianagaram,AP_Visakhapatnam
AP_Vizianagaram,OR_Koraput
AP_Vizianagaram,OR_Rayagada
AP_West Godavari,AP_East Godavari
AP_West Godavari,AP_Krishna
AP_West Godavari,TG_Telangana
AP_Y.S.R. Kadapa,AP_Anantapur
AP_Y.S.R. Kadapa,AP_Chittoor
AP_Y.S.R. Kadapa,AP_Kurnool
AP_Y.S.R. Kadapa,AP_Prakasam
AP_Y.S.R. Kadapa,AP_S.P.S. Nellore
AR_Anjaw,AR_Changlang
AR_Anjaw,AR_Lohit
AR_Changlang,AR_Anjaw
AR_Changlang,AR_Lohit
AR_Changlang,AR_Namsai
AR_Changlang,AR_Tirap
AR_Changlang,AS_Assam
AR_East Kameng,AR_Kurung Kumey
AR_East Kameng,AR_Pakke Kessang
AR_East Kameng,AR_Papum Pare
AR_East Kameng,AR_Tawang
AR_East Kameng,AR_West Kameng
AR_East Siang,AR_Lower Dibang Valley
AR_East Siang,AR_Lower Siang
AR_East Siang,AR_Siang
AR_East Siang,AR_Upper Siang
AR_East Siang,AS_Assam
AR_Kamle,AR_Kra Daadi
AR_Kamle,AR_Lower Siang
AR_Kamle,AR_Lower Subansiri
AR_Kamle,AR_Papum Pare
AR_Kamle,AR_Upper Subansiri
AR_Kamle,AS_Assam
AR_Kra Daadi,AR_Kamle
AR_Kra Daadi,AR_Kurung Kumey
AR_Kra Daadi,AR_Lower Subansiri
AR_Kra Daadi,AR_Papum Pare
AR_Kra Daadi,AR_Upper Subansiri
AR_Kurung Kumey,AR_East Kameng
AR_Kurung Kumey,AR_Kra Daadi
AR_Kurung Kumey,AR_Papum Pare
AR_Kurung Kumey,AR_Upper Subansiri
AR_Lepa Rada,AR_Lower Siang
AR_Lepa Rada,AR_Upper Subansiri
AR_Lepa Rada,AR_West Siang
AR_Lohit,AR_Anjaw
AR_Lohit,AR_Changlang
AR_Lohit,AR_Lower Dibang Valley
AR_Lohit,AR_Namsai
AR_Lohit,AS_Assam
AR_Longding,AR_Tirap
AR_Longding,AS_Assam
AR_Longding,NL_Mon
AR_Lower Dibang Valley,AR_East Siang
AR_Lower Dibang Valley,AR_Lohit
AR_Lower Dibang Valley,AR_Upper Dibang Valley
AR_Lower Dibang Valley,AR_Upper Siang
AR_Lower Dibang Valley,AS_Assam
AR_Lower Siang,AR_East Siang
AR_Lower Siang,AR_Kamle
AR_Lower Siang,AR_Lepa Rada
AR_Lower Siang,AR_Siang
AR_Lower Siang,AR_Upper Subansiri
AR_Lower Siang,AR_West Siang
AR_Lower Siang,AS_Assam
AR_Lower Subansiri,AR_Kamle
AR_Lower Subansiri,AR_Kra Daadi
AR_Lower Subansiri,AR_Papum Pare
AR_Namsai,AR_Changlang
AR_Namsai,AR_Lohit
AR_Namsai,AS_Assam
AR_Pakke Kessang,AR_East Kameng
AR_Pakke Kessang,AR_Papum Pare
AR_Pakke Kessang,AR_West Kameng
AR_Pakke Kessang,AS_Assam
AR_Papum Pare,AR_East Kameng
AR_Papum Pare,AR_Kamle
AR_Papum Pare,AR_Kra Daadi
AR_Papum Pare,AR_Kurung Kumey
AR_Papum Pare,AR_Lower Subansiri
AR_Papum Pare,AR_Pakke Kessang
AR_Papum Pare,AS_Assam
AR_Shi Yomi,AR_Siang
AR_Shi Yomi,AR_Upper Siang
AR_Shi Yomi,AR_Upper Subansiri
AR_Shi Yomi,AR_West Siang
AR_Siang,AR_East Siang
AR_Siang,AR_Lower Siang
AR_Siang,AR_Shi Yomi
AR_Siang,AR_Upper Siang
AR_Siang,AR_West Siang
AR_Tawang,AR_East Kameng
AR_Tawang,AR_West Kameng
AR_Tirap,AR_Changlang
AR_Tirap,AR_Longding
AR_Tirap,AS_Assam
AR_Upper Dibang Valley,AR_Lower Dibang Valley
AR_Upper Dibang Valley,AR_Upper Siang
AR_Upper Siang,AR_East Siang
AR_Upper Siang,AR_Lower Dibang Valley
AR_Upper Siang,AR_Shi Yomi
AR_Upper Siang,AR_Siang
AR_Upper Siang,AR_Upper Dibang Valley
AR_Upper Subansiri,AR_Kamle
AR_Upper Subansiri,AR_Kra Daadi
AR_Upper Subansiri,AR_Kurung Kumey
AR_Upper Subansiri,AR_Lepa Rada
AR_Upper Subansiri,AR_Lower Siang
AR_Upper Subansiri,AR_Shi Yomi
AR_Upper Subansiri,AR_West Siang
AR_West Kameng,AR_East Kameng
AR_West Kameng,AR_Pakke Kessang
AR_West Kameng,AR_Tawang
AR_West Kameng,AS_Assam
AR_West Siang,AR_Lepa Rada
AR_West Siang,AR_Lower Siang
AR_West Siang,AR_Shi Yomi
AR_West Siang,AR_Siang
AR_West Siang,AR_Upper Subansiri
AS_Assam,AR_Changlang
AS_Assam,AR_East Siang
AS_Assam,AR_Kamle
AS_Assam,AR_Lohit
AS_Assam,AR_Longding
AS_Assam,AR_Lower Dibang Valley
AS_Assam,AR_Lower Siang
AS_Assam,AR_Namsai
AS_Assam,AR_Pakke Kessang
AS_Assam,AR_Papum Pare
AS_Assam,AR_Tirap
AS_Assam,AR_West Kameng
AS_Assam,AS_Assam
AS_Assam,ML_East Jaintia Hills
AS_Assam,ML_North Garo Hills
AS_Assam,ML_Ribhoi
AS_Assam,ML_South West Garo Hills
AS_Assam,ML_West Garo Hills
AS_Assam,ML_West Jaintia Hills
AS_Assam,ML_West Khasi Hills
AS_Assam,MN_Manipur
AS_Assam,MZ_Aizawl
AS_Assam,MZ_Kolasib
AS_Assam,MZ_Mamit
AS_Assam,NL_Dimapur
AS_Assam,NL_Kohima
AS_Assam,NL_Longleng
AS_Assam,NL_Mokokchung
AS_Assam,NL_Mon
AS_Assam,NL_Peren
AS_Assam,NL_Wokha
AS_Assam,TR_North Tripura
AS_Assam,WB_Alipurduar
AS_Assam,WB_Cooch Behar
BR_Araria,BR_Kishanganj
BR_Araria,BR_Madhepura
BR_Araria,BR_Purnia
BR_Araria,BR_Supaul
BR_Arwal,BR_Aurangabad
BR_Arwal,BR_Bhojpur
BR_Arwal,BR_Gaya
BR_Arwal,BR_Jehanabad
BR_Arwal,BR_Patna
BR_Arwal,BR_Rohtas
BR_Aurangabad,BR_Arwal
BR_Aurangabad,BR_Gaya
BR_Aurangabad,BR_Rohtas
BR_Aurangabad,JH_Palamu
BR_Banka,BR_Bhagalpur
BR_Banka,BR_Jamui
BR_Banka,BR_Munger
BR_Banka,JH_Deoghar
BR_Banka,JH_Dumka
BR_Banka,JH_Godda
BR_Begusarai,BR_Khagaria
BR_Begusarai,BR_Lakhisarai
BR_Begusarai,BR_Munger
BR_Begusarai,BR_Patna
BR_Begusarai,BR_Samastipur
BR_Bhagalpur,BR_Banka
BR_Bhagalpur,BR_Katihar
BR_Bhagalpur,BR_Khagaria
BR_Bhagalpur,BR_Madhepura
BR_Bhagalpur,BR_Munger
