District,Confirmed,State,Week
AP_Chittoor,2354,Andhra Pradesh,66
AP_Chittoor,2248,Andhra Pradesh,67
AP_Chittoor,2164,Andhra Pradesh,68
AP_Chittoor,2305,Andhra Pradesh,69
AP_Chittoor,1568,Andhra Pradesh,70
AP_East Godavari,0,Andhra Pradesh,1
AP_East Godavari,0,Andhra Pradesh,2
AP_East Godavari,45,Andhra Pradesh,3
AP_East Godavari,1,Andhra Pradesh,4
AP_East Godavari,6,Andhra Pradesh,5
AP_East Godavari,7,Andhra Pradesh,6
AP_East Godavari,131,Andhra Pradesh,7
AP_East Godavari,82,Andhra Pradesh,8
AP_East Godavari,48,Andhra Pradesh,9
AP_East Godavari,165,Andhra Pradesh,10
AP_East Godavari,460,Andhra Pradesh,11
AP_East Godavari,544,Andhra Pradesh,12
AP_East Godavari,885,Andhra Pradesh,13
AP_East Godavari,3125,Andhra Pradesh,14
AP_East Godavari,6892,Andhra Pradesh,15
AP_East Godavari,8880,Andhra Pradesh,16
AP_East Godavari,8889,Andhra Pradesh,17
AP_East Godavari,9258,Andhra Pradesh,18
AP_East Godavari,8571,Andhra Pradesh,19
AP_East Godavari,8941,Andhra Pradesh,20
AP_East Godavari,8774,Andhra Pradesh,21
AP_East Godavari,9690,Andhra Pradesh,22
AP_East Godavari,9853,Andhra Pradesh,23
AP_East Godavari,7937,Andhra Pradesh,24
AP_East Godavari,6775,Andhra Pradesh,25
AP_East Godavari,5383,Andhra Pradesh,26
AP_East Godavari,4269,Andhra Pradesh,27
AP_East Godavari,3495,Andhra Pradesh,28
AP_East Godavari,2638,Andhra Pradesh,29
AP_East Godavari,2657,Andhra Pradesh,30
AP_East Godavari,1901,Andhra Pradesh,31
AP_East Godavari,1188,Andhra Pradesh,32
AP_East Godavari,716,Andhra Pradesh,33
AP_East Godavari,406,Andhra Pradesh,34
AP_East Godavari,335,Andhra Pradesh,35
AP_East Godavari,320,Andhra Pradesh,36
AP_East Godavari,289,Andhra Pradesh,37
AP_East Godavari,199,Andhra Pradesh,38
AP_East Godavari,168,Andhra Pradesh,39
AP_East Godavari,132,Andhra Pradesh,40
AP_East Godavari,107,Andhra Pradesh,41
AP_East Godavari,89,Andhra Pradesh,42
AP_East Godavari,63,Andhra Pradesh,43
AP_East Godavari,42,Andhra Pradesh,44
AP_East Godavari,38,Andhra Pradesh,45
AP_East Godavari,53,Andhra Pradesh,46
AP_East Godavari,60,Andhra Pradesh,47
AP_East Godavari,107,Andhra Pradesh,48
AP_East Godavari,189,Andhra Pradesh,49
AP_East Godavari,425,Andhra Pradesh,50
AP_East Godavari,189,Andhra Pradesh,51
AP_East Godavari,359,Andhra Pradesh,52
AP_East Godavari,3436,Andhra Pradesh,53
AP_East Godavari,5104,Andhra Pradesh,54
AP_East Godavari,10145,Andhra Pradesh,55
AP_East Godavari,15888,Andhra Pradesh,56
AP_East Godavari,19837,Andhra Pradesh,57
AP_East Godavari,22783,Andhra Pradesh,58
AP_East Godavari,18146,Andhra Pradesh,59
AP_East Godavari,15918,Andhra Pradesh,60
AP_East Godavari,9615,Andhra Pradesh,61
AP_East Godavari,7605,Andhra Pradesh,62
AP_East Godavari,6037,Andhra Pradesh,63
AP_East Godavari,4698,Andhra Pradesh,64
AP_East Godavari,4460,Andhra Pradesh,65
AP_East Godavari,3117,Andhra Pradesh,66
AP_East Godavari,2738,Andhra Pradesh,67
AP_East Godavari,2075,Andhra Pradesh,68
AP_East Godavari,2690,Andhra Pradesh,69
AP_East Godavari,2321,Andhra Pradesh,70
AP_Guntur,0,Andhra Pradesh,1
AP_Guntur,0,Andhra Pradesh,2
AP_Guntur,308,Andhra Pradesh,3
AP_Guntur,68,Andhra Pradesh,4
AP_Guntur,37,Andhra Pradesh,5
AP_Guntur,13,Andhra Pradesh,6
AP_Guntur,52,Andhra Pradesh,7
AP_Guntur,78,Andhra Pradesh,8
AP_Guntur,56,Andhra Pradesh,9
AP_Guntur,130,Andhra Pradesh,10
AP_Guntur,361,Andhra Pradesh,11
AP_Guntur,567,Andhra Pradesh,12
AP_Guntur,1197,Andhra Pradesh,13
AP_Guntur,1677,Andhra Pradesh,14
AP_Guntur,4912,Andhra Pradesh,15
AP_Guntur,6213,Andhra Pradesh,16
AP_Guntur,5168,Andhra Pradesh,17
AP_Guntur,4712,Andhra Pradesh,18
AP_Guntur,4336,Andhra Pradesh,19
AP_Guntur,4785,Andhra Pradesh,20
AP_Guntur,4762,Andhra Pradesh,21
AP_Guntur,5114,Andhra Pradesh,22
AP_Guntur,4318,Andhra Pradesh,23
AP_Guntur,3845,Andhra Pradesh,24
AP_Guntur,3517,Andhra Pradesh,25
AP_Guntur,3185,Andhra Pradesh,26
AP_Guntur,2441,Andhra Pradesh,27
AP_Guntur,2898,Andhra Pradesh,28
AP_Guntur,2470,Andhra Pradesh,29
AP_Guntur,2012,Andhra Pradesh,30
AP_Guntur,1558,Andhra Pradesh,31
AP_Guntur,1107,Andhra Pradesh,32
AP_Guntur,849,Andhra Pradesh,33
AP_Guntur,537,Andhra Pradesh,34
AP_Guntur,592,Andhra Pradesh,35
AP_Guntur,353,Andhra Pradesh,36
AP_Guntur,304,Andhra Pradesh,37
AP_Guntur,298,Andhra Pradesh,38
AP_Guntur,253,Andhra Pradesh,39
AP_Guntur,180,Andhra Pradesh,40
AP_Guntur,120,Andhra Pradesh,41
AP_Guntur,108,Andhra Pradesh,42
AP_Guntur,66,Andhra Pradesh,43
AP_Guntur,52,Andhra Pradesh,44
AP_Guntur,45,Andhra Pradesh,45
AP_Guntur,62,Andhra Pradesh,46
AP_Guntur,67,Andhra Pradesh,47
AP_Guntur,80,Andhra Pradesh,48
AP_Guntur,331,Andhra Pradesh,49
AP_Guntur,701,Andhra Pradesh,50
AP_Guntur,1790,Andhra Pradesh,51
AP_Guntur,2857,Andhra Pradesh,52
AP_Guntur,4224,Andhra Pradesh,53
AP_Guntur,8540,Andhra Pradesh,54
AP_Guntur,12363,Andhra Pradesh,55
AP_Guntur,11754,Andhra Pradesh,56
AP_Guntur,13053,Andhra Pradesh,57
AP_Guntur,10305,Andhra Pradesh,58
AP_Guntur,6501,Andhra Pradesh,59
AP_Guntur,5110,Andhra Pradesh,60
AP_Guntur,3416,Andhra Pradesh,61
AP_Guntur,2545,Andhra Pradesh,62
AP_Guntur,1856,Andhra Pradesh,63
AP_Guntur,1876,Andhra Pradesh,64
AP_Guntur,1523,Andhra Pradesh,65
AP_Guntur,1332,Andhra Pradesh,66
AP_Guntur,998,Andhra Pradesh,67
AP_Guntur,1131,Andhra Pradesh,68
AP_Guntur,1201,Andhra Pradesh,69
AP_Guntur,1223,Andhra Pradesh,70
AP_Krishna,0,Andhra Pradesh,1
AP_Krishna,0,Andhra Pradesh,2
AP_Krishna,258,Andhra Pradesh,3
AP_Krishna,80,Andhra Pradesh,4
AP_Krishna,29,Andhra Pradesh,5
AP_Krishna,29,Andhra Pradesh,6
AP_Krishna,60,Andhra Pradesh,7
AP_Krishna,70,Andhra Pradesh,8
AP_Krishna,139,Andhra Pradesh,9
AP_Krishna,317,Andhra Pradesh,10
AP_Krishna,270,Andhra Pradesh,11
AP_Krishna,429,Andhra Pradesh,12
AP_Krishna,617,Andhra Pradesh,13
AP_Krishna,853,Andhra Pradesh,14
AP_Krishna,2097,Andhra Pradesh,15
AP_Krishna,1952,Andhra Pradesh,16
AP_Krishna,2653,Andhra Pradesh,17
AP_Krishna,2228,Andhra Pradesh,18
AP_Krishna,1652,Andhra Pradesh,19
AP_Krishna,2009,Andhra Pradesh,20
AP_Krishna,2283,Andhra Pradesh,21
AP_Krishna,2852,Andhra Pradesh,22
AP_Krishna,2714,Andhra Pradesh,23
AP_Krishna,2563,Andhra Pradesh,24
AP_Krishna,2563,Andhra Pradesh,25
AP_Krishna,2771,Andhra Pradesh,26
AP_Krishna,2607,Andhra Pradesh,27
AP_Krishna,2695,Andhra Pradesh,28
AP_Krishna,2534,Andhra Pradesh,29
AP_Krishna,2203,Andhra Pradesh,30
AP_Krishna,1517,Andhra Pradesh,31
AP_Krishna,1266,Andhra Pradesh,32
AP_Krishna,947,Andhra Pradesh,33
AP_Krishna,735,Andhra Pradesh,34
AP_Krishna,633,Andhra Pradesh,35
AP_Krishna,479,Andhra Pradesh,36
AP_Krishna,397,Andhra Pradesh,37
AP_Krishna,370,Andhra Pradesh,38
AP_Krishna,274,Andhra Pradesh,39
AP_Krishna,164,Andhra Pradesh,40
AP_Krishna,161,Andhra Pradesh,41
AP_Krishna,167,Andhra Pradesh,42
AP_Krishna,117,Andhra Pradesh,43
AP_Krishna,60,Andhra Pradesh,44
AP_Krishna,39,Andhra Pradesh,45
AP_Krishna,56,Andhra Pradesh,46
AP_Krishna,82,Andhra Pradesh,47
AP_Krishna,129,Andhra Pradesh,48
AP_Krishna,188,Andhra Pradesh,49
AP_Krishna,492,Andhra Pradesh,50
AP_Krishna,1037,Andhra Pradesh,51
AP_Krishna,1674,Andhra Pradesh,52
AP_Krishna,2155,Andhra Pradesh,53
AP_Krishna,3512,Andhra Pradesh,54
AP_Krishna,3970,Andhra Pradesh,55
AP_Krishna,6570,Andhra Pradesh,56
AP_Krishna,6846,Andhra Pradesh,57
AP_Krishna,7085,Andhra Pradesh,58
AP_Krishna,4824,Andhra Pradesh,59
AP_Krishna,4681,Andhra Pradesh,60
AP_Krishna,3049,Andhra Pradesh,61
AP_Krishna,2840,Andhra Pradesh,62
AP_Krishna,2390,Andhra Pradesh,63
AP_Krishna,1939,Andhra Pradesh,64
AP_Krishna,1557,Andhra Pradesh,65
AP_Krishna,1596,Andhra Pradesh,66
AP_Krishna,1545,Andhra Pradesh,67
AP_Krishna,1778,Andhra Pradesh,68
AP_Krishna,1710,Andhra Pradesh,69
AP_Krishna,1041,Andhra Pradesh,70
AP_Kurnool,0,Andhra Pradesh,1
AP_Kurnool,0,Andhra Pradesh,2
AP_Kurnool,436,Andhra Pradesh,3
AP_Kurnool,117,Andhra Pradesh,4
AP_Kurnool,55,Andhra Pradesh,5
AP_Kurnool,30,Andhra Pradesh,6
AP_Kurnool,66,Andhra Pradesh,7
AP_Kurnool,58,Andhra Pradesh,8
AP_Kurnool,163,Andhra Pradesh,9
AP_Kurnool,322,Andhra Pradesh,10
AP_Kurnool,437,Andhra Pradesh,11
AP_Kurnool,670,Andhra Pradesh,12
AP_Kurnool,814,Andhra Pradesh,13
AP_Kurnool,2513,Andhra Pradesh,14
AP_Kurnool,4676,Andhra Pradesh,15
AP_Kurnool,7724,Andhra Pradesh,16
AP_Kurnool,7951,Andhra Pradesh,17
AP_Kurnool,6714,Andhra Pradesh,18
AP_Kurnool,5404,Andhra Pradesh,19
AP_Kurnool,5098,Andhra Pradesh,20
AP_Kurnool,4758,Andhra Pradesh,21
AP_Kurnool,3178,Andhra Pradesh,22
AP_Kurnool,2570,Andhra Pradesh,23
AP_Kurnool,1702,Andhra Pradesh,24
AP_Kurnool,1396,Andhra Pradesh,25
AP_Kurnool,1078,Andhra Pradesh,26
AP_Kurnool,797,Andhra Pradesh,27
AP_Kurnool,429,Andhra Pradesh,28
AP_Kurnool,312,Andhra Pradesh,29
AP_Kurnool,230,Andhra Pradesh,30
AP_Kurnool,217,Andhra Pradesh,31
AP_Kurnool,139,Andhra Pradesh,32
AP_Kurnool,154,Andhra Pradesh,33
AP_Kurnool,79,Andhra Pradesh,34
AP_Kurnool,89,Andhra Pradesh,35
AP_Kurnool,107,Andhra Pradesh,36
AP_Kurnool,47,Andhra Pradesh,37
AP_Kurnool,52,Andhra Pradesh,38
AP_Kurnool,82,Andhra Pradesh,39
