state,week,dose1,dose2
Tripura,16,87421,162825
Tripura,17,46042,111604
Tripura,18,32642,40996
Tripura,19,59022,334
Tripura,20,36338,580
Tripura,21,47736,471
Tripura,22,19783,4493
Tripura,23,236415,24532
Tripura,24,516489,36598
Tripura,25,104894,40919
Tripura,26,59108,32856
Tripura,27,82326,44761
Tripura,28,69473,49589
Tripura,29,150211,43390
Tripura,30,45271,14927
Tripura,31,28407,26677
Uttar Pradesh,1,0,0
Uttar Pradesh,2,29828,0
Uttar Pradesh,3,402396,0
Uttar Pradesh,4,205067,0
Uttar Pradesh,5,226272,2
Uttar Pradesh,6,274977,100269
Uttar Pradesh,7,144485,287282
Uttar Pradesh,8,204751,141662
Uttar Pradesh,9,544759,91896
Uttar Pradesh,10,1272671,274272
Uttar Pradesh,11,1081781,125298
Uttar Pradesh,12,1126449,58639
Uttar Pradesh,13,1745874,171815
Uttar Pradesh,14,1846548,371808
Uttar Pradesh,15,681859,387326
Uttar Pradesh,16,554202,372185
Uttar Pradesh,17,583917,410587
Uttar Pradesh,18,809295,480241
Uttar Pradesh,19,1183074,84511
Uttar Pradesh,20,1639151,105051
Uttar Pradesh,21,2084991,177414
Uttar Pradesh,22,2560112,167611
Uttar Pradesh,23,2404684,228355
Uttar Pradesh,24,4543682,298371
Uttar Pradesh,25,1646890,498300
Uttar Pradesh,26,3591625,977354
Uttar Pradesh,27,2461828,724122
Uttar Pradesh,28,3349507,687771
Uttar Pradesh,29,3306595,581057
Uttar Pradesh,30,4714272,601298
Uttar Pradesh,31,3049900,788694
Uttarakhand,1,0,0
Uttarakhand,2,3005,0
Uttarakhand,3,20684,0
Uttarakhand,4,46416,0
Uttarakhand,5,39628,403
Uttarakhand,6,35969,7886
Uttarakhand,7,9846,12215
Uttarakhand,8,42864,35259
Uttarakhand,9,66265,29832
Uttarakhand,10,119424,27835
Uttarakhand,11,122378,10289
Uttarakhand,12,225500,22621
Uttarakhand,13,380519,39425
Uttarakhand,14,219846,61996
Uttarakhand,15,194490,91549
Uttarakhand,16,155973,91535
Uttarakhand,17,94126,156907
Uttarakhand,18,196189,99421
Uttarakhand,19,127678,618
Uttarakhand,20,116421,2054
Uttarakhand,21,130434,3882
Uttarakhand,22,252104,7837
Uttarakhand,23,221307,37386
Uttarakhand,24,618164,35808
Uttarakhand,25,238405,95017
Uttarakhand,26,235014,127012
Uttarakhand,27,136605,175502
Uttarakhand,28,174450,150844
Uttarakhand,29,260427,119842
Uttarakhand,30,552522,138712
Uttarakhand,31,472556,147531
West Bengal,1,0,0
West Bengal,2,41427,0
West Bengal,3,170838,0
West Bengal,4,109807,0
West Bengal,5,156918,1084
West Bengal,6,145509,43442
West Bengal,7,333553,94321
West Bengal,8,346056,98781
West Bengal,9,692812,120269
West Bengal,10,1049236,123596
West Bengal,11,1101115,131092
West Bengal,12,1117185,97237
West Bengal,13,1712540,210728
West Bengal,14,612780,244081
West Bengal,15,659626,548644
West Bengal,16,485981,656799
West Bengal,17,138470,760535
West Bengal,18,140931,589347
West Bengal,19,319305,96990
West Bengal,20,1133017,49083
West Bengal,21,1683066,77019
West Bengal,22,1471746,97541
West Bengal,23,1120388,221649
West Bengal,24,1652214,463266
West Bengal,25,815188,732087
West Bengal,26,569656,907248
West Bengal,27,835366,1096734
West Bengal,28,946725,734887
West Bengal,29,1350077,486888
West Bengal,30,2121735,388892
West Bengal,31,1856470,318877
